"ref.date","yield.bid","price.bid","asset.code","matur.date"
2009-02-18,0.1127,1000.02,"NTN-F 010710",2010-07-01
2009-02-19,0.1131,999.99,"NTN-F 010710",2010-07-01
2009-02-20,0.1113,1002.47,"NTN-F 010710",2010-07-01
2009-02-25,0.1118,1002.32,"NTN-F 010710",2010-07-01
2009-02-26,0.1109,1003.76,"NTN-F 010710",2010-07-01
2009-02-27,0.1092,1006.12,"NTN-F 010710",2010-07-01
2009-03-02,0.1079,1008.01,"NTN-F 010710",2010-07-01
2009-03-03,0.1083,1007.97,"NTN-F 010710",2010-07-01
2009-03-04,0.109,1007.58,"NTN-F 010710",2010-07-01
2009-03-05,0.1093,1007.66,"NTN-F 010710",2010-07-01
2009-03-06,0.1083,1009.2,"NTN-F 010710",2010-07-01
2009-03-09,0.1054,1012.88,"NTN-F 010710",2010-07-01
2009-03-10,0.1035,1015.43,"NTN-F 010710",2010-07-01
2009-03-11,0.1025,1016.95,"NTN-F 010710",2010-07-01
2009-03-12,0.1014,1018.59,"NTN-F 010710",2010-07-01
2009-03-13,0.1009,1019.54,"NTN-F 010710",2010-07-01
2009-03-16,0.1026,1018.02,"NTN-F 010710",2010-07-01
2009-03-17,0.1024,1018.64,"NTN-F 010710",2010-07-01
2009-03-18,0.1021,1019.37,"NTN-F 010710",2010-07-01
2009-03-19,0.1003,1021.77,"NTN-F 010710",2010-07-01
2009-03-20,0.0994,1023.16,"NTN-F 010710",2010-07-01
2009-03-23,0.0992,1023.77,"NTN-F 010710",2010-07-01
2009-03-24,0.0998,1023.49,"NTN-F 010710",2010-07-01
2009-03-25,0.1017,1021.78,"NTN-F 010710",2010-07-01
2009-03-26,0.1013,1022.61,"NTN-F 010710",2010-07-01
2009-03-27,0.1004,1023.99,"NTN-F 010710",2010-07-01
2009-03-30,0.1015,1023.18,"NTN-F 010710",2010-07-01
2009-03-31,0.1014,1023.68,"NTN-F 010710",2010-07-01
2009-04-01,0.1011,1024.39,"NTN-F 010710",2010-07-01
2009-04-02,0.1009,1025,"NTN-F 010710",2010-07-01
2009-04-03,0.1019,1024.32,"NTN-F 010710",2010-07-01
